http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 28/1/2025
Year	Latitude	Longitude	Authors	Pub_year	Source
1975	37.48716	31.52961	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	37.48716	31.52961	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	36.955	33.33696	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	37.48413	34.69652	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.47608	39.81383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.65767	39.58283	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	40.37695	39.82457	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.83786	38.41565	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99341	36.5403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.6226	35.89894	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1975	39.99815	41.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	40.35345	41.47274	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1979	38.38813	31.51154	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	37.84756	43.52248	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	38.57731	39.3444	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1980	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.35345	41.47274	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.98253	42.09372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.9882	41.69372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.34243	41.91374	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.88222	42.0748	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.83221	40.28545	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	41.07836	42.73833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.54263	41.0074	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.99815	41.22562	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	39.4482	41.67278	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1982	40.71346	42.51398	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	40.01946	32.88282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	38.00261	36.15285	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	38.74531	37.27404	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	38.56516	37.27836	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.83704	35.15908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.83704	35.15908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.83704	35.15908	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.30393	34.69247	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.30393	34.69247	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.30393	34.69247	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1983	37.30393	34.69247	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1985	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1988	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1989	40.54649	40.77135	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.95287	33.7862	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	36.7726	33.78436	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48716	34.47039	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.66082	34.92725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.84098	34.93193	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.66082	34.92725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.66082	34.92725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48975	34.24423	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	37.48975	34.24423	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.17686	36.01499	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.18263	36.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.74168	37.04403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.74168	37.04403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.90267	35.88277	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.39082	37.74048	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.39082	37.74048	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.39082	37.74048	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.39082	37.74048	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.18263	36.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.18263	36.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.18263	36.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.18263	36.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.36265	36.13879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.36265	36.13879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.36265	36.13879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.36265	36.13879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1995	38.36265	36.13879	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.45331	30.55943	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.11798	32.65298	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.29819	33.3479	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.45795	36.79169	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.4482	42.32722	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00241	37.00852	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.47887	39.11627	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.65205	31.7179	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.46214	34.97599	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.46585	31.25637	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.44263	41.89533	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.4691	34.51123	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.47887	32.88373	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.45795	41.20831	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.53828	42.7566	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.53828	42.7566	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.53828	41.2434	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.52237	41.91753	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.53346	35.47935	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.55856	33.59057	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.54263	41.0074	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64925	37.48486	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.45331	35.44057	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.3664	40.76662	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.37983	39.1178	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.72269	41.0128	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.70812	35.72253	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01236	40.28882	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.7023	42.07865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.36256	41.00204	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.63335	42.55311	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.54263	42.9926	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.65627	39.81594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.6226	42.10105	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.63335	41.44689	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.6586	38.6503	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64223	40.98111	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64223	43.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.63802	42.78598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82609	40.7527	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64223	31.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	32.41565	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.63335	30.55311	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64597	43.25185	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64597	40.74815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.26818	41.66592	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.63802	41.21402	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.10559	43.26529	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.65767	33.58283	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83927	38.88313	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.29727	39.57983	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.29404	34.04364	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.26265	42.10825	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.26818	35.66592	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.42196	42.06303	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.47887	38.88373	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.6586	38.6503	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83456	40.05177	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.64223	31.01889	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.81809	41.2198	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.88222	42.0748	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.8388	38.64938	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.36256	36.99796	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.82232	37.01373	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.83786	39.58435	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.26818	29.66592	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.62821	41.6797	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.19917	32.64754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00951	37.47692	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.47243	29.37468	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.46768	30.39937	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.47243	30.62532	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.28759	29.59442	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.84756	31.52248	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.64253	35.83334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.99341	41.4597	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.47676	29.14867	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.19917	38.64754	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.46768	35.60063	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.1863	34.76194	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.16819	41.70083	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.38706	29.56416	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.17344	42.53381	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.1782	36.76851	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.1782	41.23149	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.1863	40.76194	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01472	40.05453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.36975	40.53116	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.67216	43.9795	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.05393	33.11102	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.05393	32.88898	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.92231	30.19355	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.48066	28.92262	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.28896	43.49265	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.84098	31.06807	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.8502	31.74973	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.82257	35.84022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.47676	29.14867	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.66082	34.92725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.46768	35.60063	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.66431	34.70062	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.67216	31.9795	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.66082	34.92725	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.12673	37.53661	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.66998	31.75276	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.30049	34.91802	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.89346	42.50726	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.49366	32.20816	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.83265	30.61382	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.07344	41.49953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.88808	36.2701	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.07344	35.49953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.25837	42.73213	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.24799	42.25516	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	41.42793	41.75241	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.54649	37.22865	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.16248	42.09	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.11844	39.11567	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00951	40.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01946	32.88282	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00951	43.47692	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01236	37.71118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00951	34.52308	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.98253	42.09372	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.00241	40.99148	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01946	33.11718	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.37839	33.58899	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	40.01472	34.05453	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.77514	33.11206	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.74168	31.04403	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.75193	35.35227	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.1088	40.5035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.02114	28.93666	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.77514	33.11206	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.7281	41.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.28243	30.18022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.10192	43.03411	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.11844	33.11567	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.77387	33.56027	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.1088	31.4965	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.93366	34.03833	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.1088	34.5035	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.09779	30.80298	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.93822	38.88462	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.36801	29.63255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.47422	37.95368	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.20128	43.05858	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	39.08266	29.88819	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.18263	30.14585	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.56215	30.20664	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.56215	29.79336	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.38813	34.48846	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.39484	32.19843	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.36265	35.86121	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.39484	38.19843	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.39082	37.74048	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.36801	41.63255	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.39708	38.65646	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.18796	35.62605	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.5831	34.67659	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.03262	34.02548	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.85546	33.56835	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.18796	42.37395	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.01275	35.39201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.03571	32.43026	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.37293	35.40383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.21284	31.97199	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.59484	33.11179	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.3774	30.82495	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.02114	37.06334	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.03659	38.65815	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.01275	29.39201	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.37293	29.40383	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.12032	37.08654	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.12673	31.53661	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.12032	31.08654	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.7281	35.64572	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.74848	40.49591	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.55751	30.81953	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.57101	31.73734	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.82257	35.84022	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.95415	33.56158	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.39305	31.96945	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	38.75346	37.96428	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.10237	36.18692	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	37.09682	36.03639	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
1996	36.74223	29.79988	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
